method,seed,overall_return_mean,final_phase_return_mean,boundary_drop,jumpstart_mean,retention_perm,retention_full,retention_perm_init,retention_zero,absorbed_frac_mean,actor_absorbed_frac_mean,consolidations,perm_drift_from_init
PT-A,0,-201.2266659666697,-474.34547729492186,225.62520436857216,46.44434900425195,30.12338638305664,30.732070922851562,16.65030288696289,16.782745361328125,0.879988321281494,0.9476677477359772,94,2.3125345706939697
PT-A,1,-230.76780343993505,-536.1984744262695,232.92900056298345,-63.70614986404479,41.8060302734375,41.768287658691406,20.646526336669922,20.40500831604004,0.854071042322098,0.9506623041122517,94,3.2750253677368164
PT-A,2,-142.67432123247784,-461.9607046508789,245.03537950716066,61.56719654341592,53.60053253173828,53.742916107177734,34.20513153076172,32.94643020629883,0.8592244551536885,0.9506310256237679,94,2.7181148529052734
PT-B,0,-24.90089720074336,-136.10700075149535,299.0296979342591,192.50844140234162,13.419197082519531,13.532217025756836,10.28116512298584,10.202128410339355,0.9775502871959767,0.9553597005123787,94,2.505143880844116
PT-B,1,-161.45269472757974,-445.2495544433594,249.52126306776046,31.36742013323527,21.143814086914062,20.9449462890625,10.069418907165527,10.819879531860352,0.9657515357149408,0.9493872028716067,94,3.4690980911254883
PT-B,2,-331.80088988494873,-642.3387176513672,224.77432501841915,10.923489560202825,33.8130989074707,34.23021697998047,9.271068572998047,8.70787525177002,0.9570131958165067,0.9507460873177711,94,4.2020649909973145
Vanilla,0,304.47811451562245,912.4103314208984,219.7369351667145,730.9589460125059,4.977405548095703,4.977405548095703,2.463313102722168,0.8981348276138306,,,0,3.341507911682129
Vanilla,1,565.9643942342599,1016.2546154785156,309.67977087710744,1141.4558592748326,3.1461405754089355,3.1461405754089355,10.99040412902832,7.945140361785889,,,0,1.9548059701919556
Vanilla,2,570.5779345803261,569.088691444397,346.3839026388572,1393.8971367594997,0.9403281211853027,0.9403281211853027,15.704242706298828,20.43769645690918,,,0,3.976362466812134
