setup,environment,env_step,pt_minus_vanilla
lipschitz2,walker_stand,2155789,50.68
lipschitz2,walker_stand,2463759,72.96
lipschitz2,walker_stand,2771729,106.97
lipschitz2,walker_walk,0,0.0
lipschitz2,walker_walk,307969,-54.54
lipschitz2,walker_walk,615939,-75.89
lipschitz2,walker_walk,923909,-44.27
lipschitz2,walker_walk,1231879,-54.35
lipschitz2,walker_walk,1539849,0.16
lipschitz2,walker_walk,1847819,28.57
lipschitz2,walker_walk,2155789,31.45
lipschitz2,walker_walk,2463759,61.1
lipschitz2,walker_walk,2771729,73.61
