setup,environment,arm,env_step,median_return
lipschitz2,cartpole_swingup,vanilla,0,0.0
lipschitz2,cartpole_swingup,vanilla,307969,262.45
lipschitz2,cartpole_swingup,vanilla,615939,402.96
lipschitz2,cartpole_swingup,vanilla,923909,596.7
lipschitz2,cartpole_swingup,vanilla,1231879,587.49
lipschitz2,cartpole_swingup,vanilla,1539849,537.4
lipschitz2,cartpole_swingup,vanilla,1847819,565.6
lipschitz2,cartpole_swingup,vanilla,2155789,633.39
lipschitz2,cartpole_swingup,vanilla,2463759,607.06
lipschitz2,cartpole_swingup,vanilla,2771729,529.76
lipschitz2,cartpole_swingup,ewc,0,0.0
lipschitz2,cartpole_swingup,ewc,307969,261.09
lipschitz2,cartpole_swingup,ewc,615939,442.69
lipschitz2,cartpole_swingup,ewc,923909,598.45
lipschitz2,cartpole_swingup,ewc,1231879,620.24
lipschitz2,cartpole_swingup,ewc,1539849,515.57
lipschitz2,cartpole_swingup,ewc,1847819,567.41
lipschitz2,cartpole_swingup,ewc,2155789,653.28
lipschitz2,cartpole_swingup,ewc,2463759,605.72
lipschitz2,cartpole_swingup,ewc,2771729,553.88
lipschitz2,cartpole_swingup,pt,0,0.0
lipschitz2,cartpole_swingup,pt,307969,246.29
lipschitz2,cartpole_swingup,pt,615939,407.1
lipschitz2,cartpole_swingup,pt,923909,712.69
lipschitz2,cartpole_swingup,pt,1231879,727.04
lipschitz2,cartpole_swingup,pt,1539849,569.0
lipschitz2,cartpole_swingup,pt,1847819,610.17
lipschitz2,cartpole_swingup,pt,2155789,776.07
lipschitz2,cartpole_swingup,pt,2463759,740.96
lipschitz2,cartpole_swingup,pt,2771729,612.13
lipschitz2,reacher_easy,vanilla,0,0.0
lipschitz2,reacher_easy,vanilla,307969,493.79
lipschitz2,reacher_easy,vanilla,615939,579.64
lipschitz2,reacher_easy,vanilla,923909,517.5
lipschitz2,reacher_easy,vanilla,1231879,648.6
lipschitz2,reacher_easy,vanilla,1539849,676.19
lipschitz2,reacher_easy,vanilla,1847819,683.1
lipschitz2,reacher_easy,vanilla,2155789,517.02
lipschitz2,reacher_easy,vanilla,2463759,641.02
lipschitz2,reacher_easy,vanilla,2771729,665.5
lipschitz2,reacher_easy,ewc,0,0.0
lipschitz2,reacher_easy,ewc,307969,486.73
lipschitz2,reacher_easy,ewc,615939,565.77
lipschitz2,reacher_easy,ewc,923909,487.47
lipschitz2,reacher_easy,ewc,1231879,589.22
lipschitz2,reacher_easy,ewc,1539849,648.38
lipschitz2,reacher_easy,ewc,1847819,639.16
lipschitz2,reacher_easy,ewc,2155789,528.37
lipschitz2,reacher_easy,ewc,2463759,632.94
lipschitz2,reacher_easy,ewc,2771729,688.96
lipschitz2,reacher_easy,pt,0,0.0
lipschitz2,reacher_easy,pt,307969,500.86
lipschitz2,reacher_easy,pt,615939,508.7
lipschitz2,reacher_easy,pt,923909,400.01
lipschitz2,reacher_easy,pt,1231879,531.03
lipschitz2,reacher_easy,pt,1539849,582.13
lipschitz2,reacher_easy,pt,1847819,547.67
lipschitz2,reacher_easy,pt,2155789,452.65
lipschitz2,reacher_easy,pt,2463759,549.46
lipschitz2,reacher_easy,pt,2771729,663.64
lipschitz2,cheetah_run,vanilla,0,0.0
lipschitz2,cheetah_run,vanilla,307969,211.63
lipschitz2,cheetah_run,vanilla,615939,295.04
lipschitz2,cheetah_run,vanilla,923909,269.0
lipschitz2,cheetah_run,vanilla,1231879,330.63
lipschitz2,cheetah_run,vanilla,1539849,359.41
lipschitz2,cheetah_run,vanilla,1847819,354.47
lipschitz2,cheetah_run,vanilla,2155789,279.17
lipschitz2,cheetah_run,vanilla,2463759,298.16
lipschitz2,cheetah_run,vanilla,2771729,321.7
lipschitz2,cheetah_run,ewc,0,0.0
lipschitz2,cheetah_run,ewc,307969,248.67
lipschitz2,cheetah_run,ewc,615939,363.94
lipschitz2,cheetah_run,ewc,923909,297.93
lipschitz2,cheetah_run,ewc,1231879,376.9
lipschitz2,cheetah_run,ewc,1539849,402.74
lipschitz2,cheetah_run,ewc,1847819,429.63
lipschitz2,cheetah_run,ewc,2155789,315.84
lipschitz2,cheetah_run,ewc,2463759,397.39
lipschitz2,cheetah_run,ewc,2771729,411.12
lipschitz2,cheetah_run,pt,0,0.0
lipschitz2,cheetah_run,pt,307969,186.05
lipschitz2,cheetah_run,pt,615939,312.08
lipschitz2,cheetah_run,pt,923909,287.06
lipschitz2,cheetah_run,pt,1231879,365.75
lipschitz2,cheetah_run,pt,1539849,393.02
lipschitz2,cheetah_run,pt,1847819,395.48
lipschitz2,cheetah_run,pt,2155789,333.8
lipschitz2,cheetah_run,pt,2463759,403.67
lipschitz2,cheetah_run,pt,2771729,407.61
lipschitz2,walker_stand,vanilla,0,0.0
lipschitz2,walker_stand,vanilla,307969,250.84
lipschitz2,walker_stand,vanilla,615939,273.14
lipschitz2,walker_stand,vanilla,923909,281.01
lipschitz2,walker_stand,vanilla,1231879,294.26
lipschitz2,walker_stand,vanilla,1539849,285.27
lipschitz2,walker_stand,vanilla,1847819,285.11
lipschitz2,walker_stand,vanilla,2155789,242.36
lipschitz2,walker_stand,vanilla,2463759,271.91
lipschitz2,walker_stand,vanilla,2771729,269.62
lipschitz2,walker_stand,ewc,0,0.0
lipschitz2,walker_stand,ewc,307969,277.3
lipschitz2,walker_stand,ewc,615939,354.48
lipschitz2,walker_stand,ewc,923909,322.83
lipschitz2,walker_stand,ewc,1231879,379.02
lipschitz2,walker_stand,ewc,1539849,409.92
lipschitz2,walker_stand,ewc,1847819,453.34
lipschitz2,walker_stand,ewc,2155789,352.88
lipschitz2,walker_stand,ewc,2463759,382.45
lipschitz2,walker_stand,ewc,2771729,416.38
lipschitz2,walker_stand,pt,0,0.0
lipschitz2,walker_stand,pt,307969,238.88
lipschitz2,walker_stand,pt,615939,282.71
lipschitz2,walker_stand,pt,923909,271.61
lipschitz2,walker_stand,pt,1231879,320.96
lipschitz2,walker_stand,pt,1539849,358.98
lipschitz2,walker_stand,pt,1847819,362.65
lipschitz2,walker_stand,pt,2155789,293.04
lipschitz2,walker_stand,pt,2463759,344.87
lipschitz2,walker_stand,pt,2771729,376.6
lipschitz2,walker_walk,vanilla,0,0.0
lipschitz2,walker_walk,vanilla,307969,219.87
lipschitz2,walker_walk,vanilla,615939,313.08
lipschitz2,walker_walk,vanilla,923909,238.53
lipschitz2,walker_walk,vanilla,1231879,323.7
lipschitz2,walker_walk,vanilla,1539849,303.65
lipschitz2,walker_walk,vanilla,1847819,313.8
lipschitz2,walker_walk,vanilla,2155789,174.86
lipschitz2,walker_walk,vanilla,2463759,222.12
lipschitz2,walker_walk,vanilla,2771729,260.36
lipschitz2,walker_walk,ewc,0,0.0
lipschitz2,walker_walk,ewc,307969,214.34
lipschitz2,walker_walk,ewc,615939,308.13
lipschitz2,walker_walk,ewc,923909,215.32
lipschitz2,walker_walk,ewc,1231879,254.86
lipschitz2,walker_walk,ewc,1539849,290.63
lipschitz2,walker_walk,ewc,1847819,314.63
lipschitz2,walker_walk,ewc,2155789,186.69
lipschitz2,walker_walk,ewc,2463759,247.08
lipschitz2,walker_walk,ewc,2771729,292.96
lipschitz2,walker_walk,pt,0,0.0
lipschitz2,walker_walk,pt,307969,165.33
lipschitz2,walker_walk,pt,615939,237.19
lipschitz2,walker_walk,pt,923909,194.26
lipschitz2,walker_walk,pt,1231879,269.36
lipschitz2,walker_walk,pt,1539849,303.81
lipschitz2,walker_walk,pt,1847819,342.36
lipschitz2,walker_walk,pt,2155789,206.3
