environment,arm,env_step,median_return
cheetah_run,ewc,1539849,289.95
cheetah_run,ewc,1847819,325.58
cheetah_run,ewc,2155789,363.37
cheetah_run,ewc,2463759,374.2
cheetah_run,ewc,2771729,295.98
cheetah_run,pt,0,0.0
cheetah_run,pt,307969,212.89
cheetah_run,pt,615939,323.38
cheetah_run,pt,923909,346.18
cheetah_run,pt,1231879,392.07
cheetah_run,pt,1539849,288.63
cheetah_run,pt,1847819,312.8
cheetah_run,pt,2155789,391.03
cheetah_run,pt,2463759,407.59
cheetah_run,pt,2771729,317.71
